objectid,filename,description,title,youtubeid,format,creator,date,date-is-approximate?,item-information,subject,location,latitude,longitude,rights,type,language
davinLoh001,loh01.JPG,These photos show Zack Klima and Sunny Yang having an interview with Davin Loh. ,Group 6 Pics,,image/JPG,"Kilma, Zachary Ma, Yunlong Odutayo, Olufunlola Yang, Sunny",11/5/2014,Yes,"single page, photograph",Interview,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
davinLoh002,loh03.JPG,These photos show Zack Klima and Sunny Yang having an interview with Davin Loh. ,Group 6 Pics,,image/JPG,"Kilma, Zachary Ma, Yunlong Odutayo, Olufunlola Yang, Sunny",11/5/2014,Yes,"single page, photograph",Interview,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
davinLoh003,loh04.JPG,These photos show Zack Klima and Sunny Yang having an interview with Davin Loh. ,Group 6 Pics,,image/JPG,"Kilma, Zachary Ma, Yunlong Odutayo, Olufunlola Yang, Sunny",11/5/2014,Yes,"single page, photograph",Interview,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
davinLoh004,loh05.JPG,These photos show Zack Klima and Sunny Yang having an interview with Davin Loh. ,Group 6 Pics,,image/JPG,"Kilma, Zachary Ma, Yunlong Odutayo, Olufunlola Yang, Sunny",11/5/2014,Yes,"single page, photograph",Interview,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
davinLoh005,loh06.JPG,These photos show Zack Klima and Sunny Yang having an interview with Davin Loh. ,Group 6 Pics,,image/JPG,"Kilma, Zachary Ma, Yunlong Odutayo, Olufunlola Yang, Sunny",11/5/2014,Yes,"single page, photograph",Interview,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
davinLoh006,loh08.JPG,These photos show Zack Klima and Sunny Yang having an interview with Davin Loh. ,Group 6 Pics,,image/JPG,"Kilma, Zachary Ma, Yunlong Odutayo, Olufunlola Yang, Sunny",11/5/2014,Yes,"single page, photograph",Interview,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
davinLoh007,loh09.JPG,These photos show Zack Klima and Sunny Yang having an interview with Davin Loh. ,Group 6 Pics,,image/JPG,"Kilma, Zachary Ma, Yunlong Odutayo, Olufunlola Yang, Sunny",11/5/2014,Yes,"single page, photograph",Interview,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
davinLoh008,loh10.JPG,These photos show Zack Klima and Sunny Yang having an interview with Davin Loh. ,Group 6 Pics,,image/JPG,"Kilma, Zachary Ma, Yunlong Odutayo, Olufunlola Yang, Sunny",11/5/2014,Yes,"single page, photograph",Interview,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
davinLoh009,loh11.JPG,These photos show Zack Klima and Sunny Yang having an interview with Davin Loh. ,Group 6 Pics,,image/JPG,"Kilma, Zachary Ma, Yunlong Odutayo, Olufunlola Yang, Sunny",11/5/2014,Yes,"single page, photograph",Interview,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
davinLoh010,loh12.JPG,These photos show Zack Klima and Sunny Yang having an interview with Davin Loh. ,Group 6 Pics,,image/JPG,"Kilma, Zachary Ma, Yunlong Odutayo, Olufunlola Yang, Sunny",11/5/2014,Yes,"single page, photograph",Interview,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
davinLoh011,loh14.JPG,These photos show Zack Klima and Sunny Yang having an interview with Davin Loh. ,Group 6 Pics,,image/JPG,"Kilma, Zachary Ma, Yunlong Odutayo, Olufunlola Yang, Sunny",11/5/2014,Yes,"single page, photograph",Interview,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
davinLoh012,loh15.JPG,These photos show Zack Klima and Sunny Yang having an interview with Davin Loh. ,Group 6 Pics,,image/JPG,"Kilma, Zachary Ma, Yunlong Odutayo, Olufunlola Yang, Sunny",11/5/2014,Yes,"single page, photograph",Interview,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
davinLoh013,,A Youtube video with Doc Mack interviewing Davin Loh and his experiences at the Galloping Ghost Arcade.,GGA-Gamer Profile: Davin Loh,3SokHbjqfIQ,video/mpeg,"Kilma, Zachary Ma, Yunlong Odutayo, Olufunlola Yang, Sunny",11/18/2013,Yes,youtube video,Davin Loh,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Video,English
davinLoh014,Davin_Loh_Interv.mp3,"Davin Loh gets asked a lot about pinballs within the interview, but he is more into arcade systems. Davin is a well known player at the Galloping Ghost arcade, hitting high scores and beating world records. Davin Loh is known within the community to be the best at a handful of games at the arcade, but the biggest one is ""Capcom vs SNK 2"". A fighting arcade game that puts two players against each other and fights with a 48 character roster, but it's not the multiplayer part he is known for. Davin focuses more on the single player mode, it pins the player to do countless battles against CPUs and then gets awarded points for a score and the more the player wins the higher the points, but the harder the fights become. He brings alot of attention to the arcade when he is attempting to break a record or high score, he has been such a positive player to have at the Galloping Ghost arcade.",Interview with Davin Loh,,audio/MP3,"Kilma, Zachary Ma, Yunlong Odutayo, Olufunlola Yang, Sunny",11/4/2014,Yes,Interview,Davin Loh,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Audio; Interview,English
gallopingGhost001,Portrait_1.jpg,"Photo of Doc Mack, the owner of the Galloping Ghost arcade.",Doc Mack,,image/JPG,"Bahena, Analy, Maciano li, Peter Sense, Braden Huff, Le Jalen Oluduro, Olumide",11/15/2014,Yes,"single page, photograph",Doc Mack,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
gallopingGhost002,Portrait_3.jpg,Photo of Doc Mack on the floor next to some arcade machines.,Doc Mack,,image/JPG,"Bahena, Analy, Maciano li, Peter Sense, Braden Huff, Le Jalen Oluduro, Olumide",11/15/2014,Yes,"single page, photograph",Doc Mack,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
gallopingGhost003,Arcades 1.JPG,Arcade machines collected around the world. All working and ready to be played.,Arcade Machines,,image/JPG,"Bahena, Analy, Maciano li, Peter Sense, Braden Huff, Le Jalen Oluduro, Olumide",11/15/2014,Yes,"single page, photograph",Machines,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
gallopingGhost004,Arcades 2.jpg,Arcade machines collected around the world. All working and ready to be played.,Arcade Machines,,image/JPG,"Bahena, Analy, Maciano li, Peter Sense, Braden Huff, Le Jalen Oluduro, Olumide",11/15/2014,Yes,"single page, photograph",Machines,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
gallopingGhost05,Arcades 3.jpg,Arcade machines collected around the world. All working and ready to be played.,Arcade Machines,,image/JPG,"Bahena, Analy, Maciano li, Peter Sense, Braden Huff, Le Jalen Oluduro, Olumide",11/15/2014,Yes,"single page, photograph",Machines,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
gallopingGhost06,Arcades 4.jpg,Arcade machines collected around the world. All working and ready to be played.,Arcade Machines,,image/JPG,"Bahena, Analy, Maciano li, Peter Sense, Braden Huff, Le Jalen Oluduro, Olumide",11/15/2014,Yes,"single page, photograph",Machines,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
gallopingGhost07,Arcades 5.jpg,Arcade machines collected around the world. All working and ready to be played.,Arcade Machines,,image/JPG,"Bahena, Analy, Maciano li, Peter Sense, Braden Huff, Le Jalen Oluduro, Olumide",11/15/2014,Yes,"single page, photograph",Machines,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
gallopingGhost08,Arcades 6.jpg,Arcade machines collected around the world. All working and ready to be played.,Arcade Machines,,image/JPG,"Bahena, Analy, Maciano li, Peter Sense, Braden Huff, Le Jalen Oluduro, Olumide",11/15/2014,Yes,"single page, photograph",Machines,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
gallopingGhost09,Arcades 7.jpg,Arcade machines collected around the world. All working and ready to be played.,Arcade Machines,,image/JPG,"Bahena, Analy, Maciano li, Peter Sense, Braden Huff, Le Jalen Oluduro, Olumide",11/15/2014,Yes,"single page, photograph",Machines,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
